RBD;NOM_RBD;PACE;COD_COM_RBD
1;LICEO POLITECNICO ARICA;1;15101
2;PARVULARIO LAS ESPIGUITAS;0;15101
3;ESC. PEDRO VICENTE GUTIERREZ TORRES;0;15101
4;LICEO OCTAVIO PALMA PEREZ;1;15101
5;JOVINA NARANJO FERNANDEZ;0;15101
7;L. POLI. ANTONIO VARAS DE LA BARRA;1;15101
8;COLEGIO INTEGRADO EDUARDO FREI MONTALVA;1;15101
9;ESCUELA REPUBLICA DE ISRAEL;0;15101
10;ESCUELA REPUBLICA DE FRANCIA;0;15101
11;ESC. GRAL. PEDRO LAGOS MARCHANT;0;15101
12;ESCUELA GRAL JOSE MIGUEL CARRERA;0;15101
13;ESCUELA MANUEL RODRIGUEZ ERDOYZA;0;15101
14;ESCUELA ROMULO J. PENA MATURANA;0;15101
15;LICEO BICENTENARIO ARTISTICO DR. JUAN NOE CREVANI;0;15101
16;ESCUELA REGIMIENTO RANCAGUA;0;15101
17;ESCUELA SUBTTE. LUIS CRUZ MARTINEZ;0;15101
18;ESC. COMTE. JUAN JOSE SAN MARTIN;0;15101
19;ESC. HUMBERTO VALENZUELA GARCIA;0;15101
20;ESCUELA TUCAPEL;0;15101
21;ESCUELA CARLOS GUIRAO MASSIF;0;15101
22;ESCUELA GABRIELA MISTRAL;0;15101
25;COLEGIO CENTENARIO DE ARICA;0;15101
26;ESCUELA REPUBLICA DE ARGENTINA;0;15101
27;ESCUELA ESMERALDA;0;15101
28;ESCUELA RICARDO SILVA ARRIAGADA;0;15101
29;ESCUELA AMERICA;0;15101
30;ESCUELA DR. RICARDO OLEA GUERRA;0;15101
31;ESCUELA DARIO SALAS DIAZ;0;15101
32;LICEO AGRICOLA JOSE ABELARDO NUNEZ M.;1;15101
33;ESCUELA CARLOS CONDELL DE LA HAZA;0;15101
35;ESCUELA GRAL. MANUEL BAQUEDANO;0;15101
36;ESCUELA IGNACIO CARRERA PINTO;0;15101
38;ESCUELA ESPAÑA;0;15101
39;ESCUELA PAMPA ALGODONAL;0;15101
41;ESCUELA VALLE DE CHACA;0;15101
42;ESCUELA MOLINOS LLUTA;0;15101
43;JARDIN INFANTIL CEPILLIN;0;15101
44;JARDIN INFANTIL PEQUENILANDIA;0;15101
45;COLEGIO ITALIANO SANTA ANA;0;15101
46;JARDIN INFANTIL SAN ANDRES;0;15101
47;J.  I. KURUMI;0;15101
49;JARDIN INFANTIL PADRE LUIS GALLARDO;0;15101
50;COLEGIO ADVENTISTA DE ARICA;0;15101
51;ESCUELA PARTICULAR REPÚBLICA DEL ECUADOR;0;15101
52;LICEO BICENTENARIO DOMINGO SANTA MARIA;0;15101
55;JARDIN INFANTIL MONTESSORI GARDEN;0;15101
56;COLEGIO SAN MARCOS DE ARICA;0;15101
57;JARDIN INFANTIL ZORZALITO;0;15101
58;JARDIN INFANTIL PETETE J.M. BORGOÐO;0;15101
59;COLEGIO SAN JORGE;0;15101
60;COLEGIO ALEMAN DE ARICA;0;15101
65;J.  I.  SOLDADITO DE PLOMO;0;15101
66;JARDIN INFANTIL PLUTO;0;15101
67;ABRAHAM LINCOLN SCHOOL;0;15101
69;JUNIOR COLLEGE;0;15101
70;ESCUELA VALLE DE ESQUINA;0;15102
72;LICEO VALLE DE CODPA;1;15102
73;ESCUELA VALLE DE COBIJA;0;15102
74;ESCUELA VALLE DE CAMARONES;0;15102
