Codigo comuna;Unidad territorial;poblacion;superficie;viviendas;Codigo region
15202;General Lagos ;684;2244;699;15
15201;Putre ;2765;5903;1870;15
15101;Arica ;221364;4799;70398;15
15102;Camarones ;1255;3927;948;15
1403;Colchane;1728;4016;2086;1
1402;Camiña;1250;2200;1042;1
1404;Huara;2730;10475;2884;1
1101;Iquique;191468;2262;67747;1
1401;Pozo Almonte;15711;13766;9148;1
1107;Alto Hospicio;108375;573;32602;1
1405;Pica;9296;8934;2817;1
2202;Ollagüe;321;2964;431;2
2301;Tocopilla;25186;4039;10638;2
2302;María Elena;6457;12197;1961;2
2201;Calama;165731;15597;55845;2
2103;Sierra Gorda;10186;12886;597;2
2203;San Pedro De Atacama;10996;23439;4140;2
2102;Mejillones;13467;3804;4109;2
2101;Antofagasta;361873;30718;109397;2
2104;Taltal;13317;20405;4629;2
3201;Chañaral;12219;5772;6198;3
3202;Diego De Almagro;13925;18664;6988;3
3102;Caldera;17662;4667;15373;3
5201;Isla De Pascua;7750;164;3070;5
3101;Copiapó;153937;16681;55024;3
3103;Tierra Amarilla;14019;11191;4708;3
3304;Huasco;10149;1601;6196;3
3303;Freirina;7041;3578;3463;3
3301;Vallenar;51917;7084;19071;3
3302;Alto Del Carmen;5299;5939;3073;3
4104;La Higuera;4241;4158;2672;4
4101;La Serena;221054;1893;87411;4
4102;Coquimbo;227730;1429;87920;4
4105;Paiguano;4497;1495;2385;4
4106;Vicuña;27771;7610;10814;4
4103;Andacollo;11044;310;4525;4
4305;Río Hurtado;4278;2117;2695;4
4301;Ovalle;111272;3835;41558;4
4303;Monte Patria;30751;4366;13001;4
4304;Punitaqui;10956;1339;4933;4
4302;Combarbalá;13322;1896;6994;4
4202;Canela;9093;2197;5132;4
4201;Illapel;30848;2629;12278;4
4204;Salamanca;29347;3445;10583;4
4203;Los Vilos;21382;1861;12922;4
5404;Petorca;9826;1517;4450;5
5402;Cabildo;19388;1455;7124;5
5401;La Ligua;35390;1163;16948;5
5403;Papudo;6356;166;5493;5
5405;Zapallar;7339;288;7013;5
5705;Putaendo;16754;1474;6236;5
5105;Puchuncaví;18546;300;17599;5
5506;Nogales;22120;405;7548;5
5706;Santa María;15241;166;5542;5
5701;San Felipe;76844;186;26922;5
5704;Panquehue;7273;122;2451;5
5702;Catemu;13998;362;5256;5
5107;Quintero;31923;148;18202;5
5502;Calera;50554;61;17859;5
5503;Hijuelas;17988;267;6461;5
5304;San Esteban;18855;1362;7259;5
5504;La Cruz;22098;78;7924;5
5301;Los Andes;66708;1248;23419;5
5703;Llaillay;24608;349;8968;5
5303;Rinconada;10207;123;3526;5
5302;Calle Larga;14832;322;5458;5
5501;Quillota;90517;302;32755;5
5103;Concón;42152;76;20323;5
5803;Olmué;17516;232;9318;5
5802;Limache;46121;294;16372;5
5109;Viña Del Mar;334248;122;146335;5
5101;Valparaíso;296655;402;116697;5
5804;Villa Alemana;126548;97;45155;5
5801;Quilpué;151708;537;57796;5
13303;Tiltil;19312;653;7083;13
13301;Colina;146207;971;42808;13
13302;Lampa;102034;452;32722;13
5102;Casablanca;26867;953;11436;5
13115;Lo Barnechea;105833;1024;30886;13
13125;Quilicura;210410;58;61947;13
13107;Huechuraba;98671;45;27574;13
5602;Algarrobo;13817;176;20194;5
13104;Conchalí;126955;11;36687;13
13132;Vitacura;85384;28;31717;13
13503;Curacaví;32579;693;11608;13
13128;Renca;147151;24;42104;13
13127;Recoleta;157851;16;47023;13
5604;El Quisco;15955;51;18885;5
13108;Independencia;100281;7;35219;13
13114;Las Condes;294838;99;117668;13
13103;Cerro Navia;132622;11;36714;13
13126;Quinta Normal;110026;12;38059;13
13123;Providencia;142079;14;70788;13
13124;Pudahuel;230293;197;67058;13
13113;La Reina;92787;23;29119;13
13117;Lo Prado;96249;7;27068;13
13101;Santiago;404495;22;190285;13
5605;El Tabo;13286;99;21096;5
13120;Ñuñoa;208237;17;91735;13
13106;Estación Central;147041;14;50059;13
13122;Peñalolén;241599;54;65962;13
13118;Macul;116534;13;41663;13
13121;Pedro Aguirre Cerda;101174;10;29417;13
13129;San Joaquín;94492;10;28823;13
13130;San Miguel;107954;10;41856;13
13102;Cerrillos;80832;21;23673;13
13119;Maipú;521627;133;159656;13
13504;María Pinto;13590;395;4827;13
13116;Lo Espejo;98804;7;25130;13
13110;La Florida;366916;71;118258;13
13109;La Cisterna;90119;10;31217;13
13111;La Granja;116571;10;33698;13
5603;Cartagena;22738;246;16143;5
13131;San Ramón;82900;7;22841;13
13105;El Bosque;162505;14;46325;13
13604;Padre Hurtado;63250;81;20923;13
13112;La Pintana;177335;31;49024;13
13401;San Bernardo;301313;155;89478;13
13201;Puente Alto;568106;88;172517;13
13605;Peñaflor;90201;69;28236;13
13403;Calera De Tango;25392;73;7406;13
13202;Pirque;26521;445;8106;13
5104;Juan Fernández;926;148;424;5
13203;San José De Maipo;18189;4995;6890;13
5606;Santo Domingo;10900;536;7820;5
13601;Talagante;74237;126;22719;13
5601;San Antonio;91350;405;31908;5
13602;El Monte;35923;118;11896;13
13501;Melipilla;123627;1345;44424;13
13402;Buin;96614;214;30344;13
13603;Isla De Maipo;36219;189;11821;13
13404;Paine;72759;678;24328;13
13505;San Pedro;9726;788;4274;13
6205;Navidad;6641;300;5439;6
6110;Mostazal;25343;524;9005;6
6102;Codegua;12988;287;4268;6
13502;Alhué;6444;845;2835;13
6106;Graneros;33437;113;11199;6
6203;Litueche;6294;619;3467;6
6101;Rancagua;241774;260;88068;6
6108;Machalí;52505;2586;19539;6
6105;Doñihue;20887;78;7694;6
6202;La Estrella;3041;435;1789;6
6111;Olivar;13608;45;4515;6
6103;Coinco;7359;98;2640;6
6116;Requínoa;27968;673;9028;6
6107;Las Cabras;24640;749;11613;6
6104;Coltauco;19597;225;7488;6
6114;Quinta De Tilcoco;13002;93;4715;6
6113;Pichidegua;19714;320;7237;6
6112;Peumo;14313;153;4794;6
6201;Pichilemu;16394;749;12308;6
6204;Marchihue;7308;660;3282;6
6115;Rengo;58825;592;20392;6
6117;San Vicente;46766;476;17460;6
6109;Malloa;13407;113;4934;6
6307;Peralillo;11007;283;4441;6
6306;Palmilla;12482;237;4502;6
6301;San Fernando;73973;2441;28847;6
6309;Pumanque;3421;441;1624;6
6308;Placilla;8738;147;3135;6
6310;Santa Cruz;37855;420;14130;6
6206;Paredones;6188;562;3908;6
6305;Nancagua;17833;111;6504;6
6303;Chimbarongo;35399;498;12736;6
6304;Lolol;6811;597;2885;6
6302;Chépica;15037;503;5693;6
7308;Teno;28921;618;10802;7
7309;Vichuquén;4322;426;3539;7
7305;Rauco;10484;309;4144;7
7306;Romeral;15187;1597;5564;7
7302;Hualañé;9657;629;4377;7
7301;Curicó;149136;1328;54692;7
7303;Licantén;6653;273;4176;7
7307;Sagrada Familia;18544;549;6829;7
7103;Curepto;9448;1074;4441;7
7304;Molina;45976;1552;17151;7
7108;Río Claro;13906;431;5568;7
7110;San Rafael;9191;264;3568;7
7102;Constitución;46068;1344;19651;7
7106;Pelarco;8422;332;3353;7
7107;Pencahue;8245;957;3495;7
7101;Talca;220357;232;79620;7
7105;Maule;49721;238;18664;7
7109;San Clemente;43269;4504;18189;7
7104;Empedrado;4142;565;1652;7
7406;San Javier;45547;1313;17791;7
7407;Villa Alegre;16221;190;6896;7
7402;Colbún;20765;2900;9153;7
7202;Chanco;8928;530;3746;7
7408;Yerbas Buenas;18081;262;6735;7
7203;Pelluhue;7571;371;5870;7
7401;Linares;93602;1466;35106;7
7403;Longaví;30534;1454;12102;7
7201;Cauquenes;40441;2126;18587;7
7405;Retiro;19974;827;8097;7
16202;Cobquecura ;5012;570;3358;16
7404;Parral;41637;1638;17351;7
16201;Quirihue ;11594;589;5191;16
16303;Ñiquén ;11152;493;4835;16
16204;Ninhue ;5213;401;2333;16
16301;San Carlos ;53024;874;20882;16
16207;Treguaco ;5401;313;2536;16
16203;Coelemu ;15995;342;6189;16
16305;San Nicolás ;11603;491;4697;16
16205;Portezuelo ;4862;282;2068;16
16304;San Fabián ;4308;1568;2366;16
16101;Chillán ;184739;511;67961;16
8111;Tomé;54946;495;23277;8
16302;Coihueco ;26881;1777;9855;16
16103;Chillán Viejo ;30907;292;11284;16
16206;Ránquil ;5755;248;2997;16
16106;Pinto ;10827;1164;5840;16
8107;Penco;47367;108;15096;8
16102;Bulnes ;21493;425;8695;16
16107;Quillón ;17485;423;10866;16
8110;Talcahuano;151749;92;49724;8
8112;Hualpén;91773;54;30105;8
16108;San Ignacio ;16079;364;6528;16
8101;Concepción;223574;222;83624;8
8104;Florida;10624;609;5334;8
8108;San Pedro De La Paz;131808;113;47194;8
16104;El Carmen ;12044;664;4836;16
8103;Chiguayante;85938;72;28852;8
8105;Hualqui;24333;531;9042;8
16105;Pemuco ;8448;563;3431;16
8102;Coronel;116262;279;39762;8
8303;Cabrero;28573;640;11182;8
8106;Lota;43535;136;15384;8
8313;Yumbel;21198;727;10127;8
16109;Yungay ;17787;824;8261;16
8109;Santa Juana;13749;731;6278;8
8202;Arauco;36257;956;13418;8
8310;San Rosendo;3412;92;1524;8
8304;Laja;22389;340;8649;8
8312;Tucapel;14134;915;6439;8
8302;Antuco;4073;1884;2010;8
8301;Los Ángeles;202331;1748;74297;8
8309;Quilleco;9587;1122;3897;8
8205;Curanilahue;32288;994;11271;8
8306;Nacimiento;26315;935;10222;8
8307;Negrete;9737;157;3470;8
8201;Lebu;25522;561;9017;8
8206;Los Álamos;21035;599;7626;8
8311;Santa Bárbara;13773;1255;5415;8
9209;Renaico;10250;267;3944;9
8308;Quilaco;3988;1124;1910;8
8305;Mulchén;29627;1925;10708;8
9201;Angol;53262;1194;18949;9
8203;Cañete;34537;760;12963;8
